rank,score,grade,address,ask,day1_p80,true_cost,usable_sqft,all_in_psf,monthly_carry,wishlist_p80,total_spend,resale_after_reno,resale_lo,resale_hi,recovered_pct,sunk,breakeven,peer_norm,second_bath_op,verdict,notes,year_used,year_src,bg_sqft_est,tells_seen_of_15,photos_total,stage2_date,evidence,evidence_notes,cash_to_close_20pct,renovations_needed,reno_if_all_done,c_space,c_layout,c_baths,c_parking,c_lot,c_location,c_condition,c_price,work_expected,work_full,cost_hold,cost_hold_per_year,c_condition_low,c_condition_high,weights_provisional,rank_alex,rank_partner,score_alex,score_partner,band_lo,band_hi,disagree,quality,cost_pen,cost_pts,pay_mo,pay_pi,pay_tax,pay_upkeep,dial,project,hold_flags,seen_evidence,split_docked,fit_score,space,layout,baths,lot,location,parking,condition,condition_why,own_mo,own_day1_sunk,own_capital,own_taxes,own_reserve,own_closing,hold_years,overpay_total,overpay_mo,dominated_by,rank_3,rank_10,score_3,score_10
1,75.5,A-,"1273 Barberry Green, Oakville, ON L6M 2A8",1199000,28486,1227486,1979,620,552,74831,103317,1263418,1248609,1278227,62,38899,1302317,1563410,-,SEE FIRST,-,1986,mls,mls,14,37,2026-09-12,high,,288241,bath 2 $20k (unseen); bath 3 $20k (unseen); powder $9k (unseen),49000,76.8,84.8,100.0,100.0,23.2,66.0,71.5,100.0,65042,228302,364532,72906,64.9,72.6,yes,1,-,75.5,-,1,2,-,75.5,0.0,0.0,5728,5176,405,147,17.95,-,-,-,-,75.6,19.2,17.0,20,3.5,7.9,8,-0.0,-,6283,12473,311442,24290,8845,19955,5,716,12,bur-1493-clinton,1,1,79.8,77.9
2,75.2,A,"470 Delaney Court, Burlington, ON L7L 5T7",1249900,42779,1292679,2558,505,751,72579,115358,1313844,1298405,1329283,55,51414,1365258,1841760,-,SEE FIRST,-,1986,mls,mls,14,48,2026-09-12,high,,313732,driveway $11k; bath 2 $20k (unseen); powder $9k (unseen),40000,83.9,90.0,75.0,100.0,59.9,88.8,69.7,85.3,72779,239858,393343,78669,61.6,74.2,yes,2,-,75.2,-,1,2,-,77.8,14.7,2.6,6147,5396,604,147,17.95,-,-,-,-,81.6,21.0,18.0,15,9.0,10.7,8,-0.0,-,6840,17064,327280,36245,8845,20973,5,11267,188,bur-3217-hazelwood,2,2,79.5,77.7
3,71.0,B,"2294 Seton Crescent, Burlington, ON L7L 6Y4",1179900,26212,1206112,2108,572,600,50675,76887,1226782,1216391,1237172,61,30005,1256787,1518120,-,SEE FIRST,-,2002,mls,mls,14,42,2026-09-12,high,,281765,-,0,76.3,84.8,75.0,62.5,0.0,62.9,71.0,100.0,60502,208711,379165,75833,63.6,72.2,yes,3,-,71.0,-,3,4,-,71.0,0.0,0.0,5694,5094,453,147,17.95,-,-,-,-,63.6,19.1,17.0,15,0,7.5,5,-0.0,-,6510,11417,306117,27205,26270,19573,5,19283,321,bur-1237-sycamore,4,3,75.7,74.9
4,71.0,A-,"1493 Clinton Court, Burlington, ON L7M 1N1",1174900,30552,1205452,1955,617,629,77237,107789,1242232,1226731,1257734,62,40457,1282689,1407600,-,SEE FIRST,-,1973,mls,mls,12,40,2026-09-12,high,,285005,bath 2 $22k (unseen); bath 3 $22k (unseen),44000,76.0,70.0,90.0,100.0,75.3,75.0,70.6,100.0,65179,221327,362963,72593,62.8,71.8,yes,4,-,71.0,-,3,4,-,71.0,0.0,0.0,5702,5072,482,147,17.95,-,-,-,yes,75.3,19.0,14.0,18,11.3,9.0,8,-0.0,-,6271,13326,305710,28936,8845,19473,5,0,0,-,3,4,75.1,73.3
5,68.9,A-,"3212 Pinemeadow Drive, Burlington, ON L7M 2N7",1299900,40844,1340744,2424,553,672,83849,124693,1378248,1359203,1397293,63,46345,1424593,1745280,-,SEE FIRST,-,1986,mls,est,11,50,2026-09-12,medium,basement area estimated,322797,main bath $25k; ceilings $10k; bath 2 $20k (unseen); powder $9k (unseen),64000,82.5,90.0,75.0,100.0,69.4,72.1,62.8,71.6,81938,220307,401935,80387,52.7,64.2,yes,5,-,68.9,-,5,7,-,74.0,28.4,5.1,6284,5612,525,147,17.95,-,-,-,-,76.7,20.6,18.0,15,10.4,8.7,8,-4.0,main bath original -4,6928,13720,339643,31473,8845,21973,5,39365,656,bur-1493-clinton,5,5,74.2,72.3
6,67.4,A-,"1236 Thorpe Road, Burlington, ON L7S 2C9",1225000,45964,1270964,2350,541,661,90788,136752,1307106,1289627,1324585,60,54646,1361752,1691640,-,SEE FIRST,-,1985,mls,est,7,46,2026-09-23,low,no basement frame; basement area estimated,311439,basement $33k; flooring $29k; bath 2 $20k (unseen); powder $9k (unseen),91000,75.2,84.8,75.0,75.0,39.0,83.2,54.9,100.0,92705,205397,381703,76341,50.4,63.8,yes,6,-,67.4,-,5,6,-,67.4,0.0,0.0,5949,5289,514,147,17.95,-,-,-,-,72.6,18.8,17.0,15,5.8,10.0,6.0,-0.0,-,6662,17990,321568,30815,8845,20475,5,23404,390,bur-1493-clinton,6,6,72.9,70.9
7,67.0,A,"3217 Hazelwood Avenue, Burlington, ON L7M 2V3",1235000,46209,1281209,2143,598,633,131773,177982,1342641,1317983,1367299,60,70341,1412982,1542960,-,SEE FIRST,-,1984,mls,est,14,40,,high,basement area estimated,313884,basement $43k; main bath $25k; ceilings $9k; bath 2 $20k (unseen); bath 3 $20k (unseen); powder $9k (unseen),126000,78.2,100.0,100.0,100.0,56.3,69.9,40.5,100.0,137352,230704,382876,76575,35.6,45.2,yes,7,-,67.0,-,6,7,-,67.0,0.0,0.0,5965,5332,486,147,17.95,-,-,-,-,80.4,19.6,20.0,20,8.4,8.4,8,-4.0,main bath original -4,6652,16265,324167,29189,8845,20675,5,0,0,-,7,7,72.5,70.7
8,65.8,A,"3205 Tania Crescent, Burlington, ON L7M 3M7",1274999,61599,1336598,3210,416,705,141246,202845,1396477,1369328,1423626,60,81367,1477844,2311560,-,SEE,virtually staged frames,1988,est,mls,13,43,2026-09-12,medium,virtual staging; build year estimated,338074,basement $61k; bath 2 $20k; ceilings $12k; bath 3 $20k (unseen); powder $9k (unseen),122000,91.9,100.0,100.0,100.0,50.0,49.4,42.1,79.1,151938,262549,401220,80244,25.9,45.1,yes,8,-,65.8,-,8,13,-,69.6,20.9,3.8,6209,5505,558,147,17.95,-,-,-,-,82.4,23.0,20.0,20,7.5,5.9,8,-2.0,2nd bath original -2,7039,21125,337445,33455,8845,21475,5,23204,387,bur-3217-hazelwood,8,10,71.5,69.9
9,65.3,B+,"506 PONDVIEW Place, Oakville, ON L6H 6S3",1299000,28310,1327310,2080,638,677,59671,87981,1353416,1341078,1365754,62,33565,1386981,1643200,-,SEE FIRST,-,1999,mls,est,14,50,2026-09-12,high,basement area estimated,310065,-,0,77.2,64.8,100.0,75.0,9.3,55.2,69.4,71.5,70024,228500,416917,83383,62.3,70.6,yes,9,-,65.3,-,8,10,-,70.4,28.5,5.1,6285,5608,530,147,17.95,-,-,-,-,66.3,19.3,13.0,20,1.4,6.6,6,-0.0,-,7153,12277,336907,31785,26270,21955,5,57896,965,bur-1237-sycamore,9,8,70.8,70.1
10,64.5,B+,"4831 Columbus Drive, Burlington, ON L7M 0J4",1250000,29237,1279237,2390,535,697,80193,109430,1323149,1308780,1337519,67,36281,1359430,1720800,-,SEE FIRST,-,2008,mls,est,14,50,2026-09-12,high,basement area estimated,300212,kitchen $26k; main bath $24k,50000,81.9,84.8,75.0,100.0,32.8,57.5,51.1,90.6,102465,209627,411352,82270,41.4,52.4,yes,10,-,64.5,-,9,12,-,66.1,9.4,1.7,6094,5397,550,147,17.95,-,-,-,-,69.0,20.5,17.0,15,4.9,6.9,8,-3.3,kitchen original -6; main bath original -4,7063,12436,324597,33010,32770,20975,5,47499,792,bur-1493-clinton,10,9,70.5,69.9
